director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Michael Apted,Gerard Butler,Abigail Spencer,Leven Rambin,Biography Drama Sport,Chasing Mavericks
Uwe Boll,Catherine Lough Haggquist,Darren Shahlavi,Karin Konoval,Horror Sci-Fi,Alone in the Dark
Todd Graff,Scott Porter,Charlie Saxton,Ryan Donowho,Comedy Drama Family Music Romance,Bandslam
Jonathan Glazer,Cameron Bright,Anne Heche,Danny Huston,Drama Mystery Romance Thriller,Birth
J.C. Chandor,David Oyelowo,Ashley Williams,Albert Brooks,Action Crime Drama Thriller,A Most Violent Year
Paul Gross,Landon Liboiron,Michael Greyeyes,Caroline Dhavernas,Drama History Romance War,Passchendaele
Marc Abraham,Dylan Authors,Bill Lake,Victoria Learn,Biography Drama,Flash of Genius
Todd Haynes,Christian Bale,Heath Ledger,Tyrone Benskin,Biography Drama Music,I'm Not There.
Mabrouk El Mechri,Henry Cavill,Bruce Willis,Óscar Jaenada,Action Thriller,The Cold Light of Day
Rian Johnson,Zachary Gordon,Maximilian Schell,Nora Zehetner,Adventure Comedy Drama Romance,The Brothers Bloom
Charlie Kaufman,Philip Seymour Hoffman,Jennifer Jason Leigh,Samantha Morton,Comedy Drama Romance,"Synecdoche, New York"
Hayao Miyazaki,Minnie Driver,Jada Pinkett Smith,Billy Crudup,Adventure Animation Fantasy,Princess Mononoke
Jean-Paul Rappeneau,Isabelle Adjani,Peter Coyote,Virginie Ledoyen,Comedy Drama Mystery Romance Thriller War,Bon voyage
Nancy Walker,Steve Guttenberg,Randy Jones,Caitlyn Jenner,Biography Comedy Musical,Can't Stop the Music
John Hillcoat,Ray Winstone,Noah Taylor,Danny Huston,Crime Drama Western,The Proposition
Angelo Pizzo,Donny Boaz,Finn Wittrock,Brent Anderson,Biography Drama Sport,Courage
Richard Benjamin,Damon Wayans,Jane Krakowski,Paula Garcés,Comedy Music,Marci X
Kurt Wimmer,Christian Bale,Emily Watson,Sean Pertwee,Action Drama Sci-Fi Thriller,Equilibrium
Roger Spottiswoode,Radha Mitchell,Guang Li,Matthew Walker,Drama War,The Children of Huang Shi
James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,Crime Drama Romance Thriller,The Yards
Matthew Diamond,Chazz Palminteri,Garrett Clayton,Toni Braxton,Adventure Family Fantasy Musical,The Oogieloves in the Big Balloon Adventure
Angelina Jolie Pitt,Brad Pitt,Angelina Jolie Pitt,Melvil Poupaud,Drama Romance,By the Sea
Katsuhiro Ôtomo,William Hootkins,Robin Atkin Downes,Rosalind Ayres,Action Adventure Animation Family Sci-Fi Thriller,Steamboy
David Anspaugh,Gerard Butler,Costas Mandylor,Jimmy Jean-Louis,Drama History Sport,The Game of Their Lives
Andrew Jarecki,Ryan Gosling,Kirsten Dunst,Frank Langella,Crime Drama Mystery Romance Thriller,All Good Things
Kevin Reynolds,Esai Morales,Jason Scott Lee,Sandrine Holt,Action Adventure Drama History Romance,Rapa Nui
Stephen Chow,Jiao Xu,Yuqi Zhang,Chi Chung Lam,Comedy Family Sci-Fi,CJ7
Jean-Marie Poiré,Christian Clavier,Philippe Nahon,Marie-Anne Chazel,Comedy Family Fantasy Sci-Fi,Les couloirs du temps: Les visiteurs II
Kevin Munroe,Marco St. John,Laura Spencer,Anita Briem,Action Comedy Crime Fantasy Horror Mystery Sci-Fi Thriller,Dylan Dog: Dead of Night
Daniel Algrant,Al Pacino,Richard Schiff,Mark Webber,Crime Drama Mystery,People I Know
unknown,Peter Vaughan,George Coulouris,Ewen Solon,Drama Family,The Doombolt Chase            
Julie Taymor,Djimon Hounsou,Reeve Carney,Tom Conti,Comedy Drama Fantasy Romance,The Tempest
Alejandro Amenábar,Emma Watson,Aaron Ashmore,Julian Richings,Crime Drama Mystery Thriller,Regression
Jane Clark,Necar Zadegan,Traci Dinwiddie,Elea Oberon,Romance Short,The Touch
Daniel Lee,Andy Lau,Sammo Kam-Bo Hung,Andy On,Action Drama History War,Three Kingdoms: Resurrection of the Dragon
Mike Barker,Gerard Butler,Nicholas Lea,Callum Rennie,Crime Drama Thriller,Shattered
Wayne Thornley,Leonard Nimoy,Phil LaMarr,Noureen DeWulf,Adventure Animation Comedy Family,Zambezia
Gnana Rajasekaran,Mani Bharathi,Michael Lieber,Kevin McGowan,Biography Drama History,Ramanujan
Tom Walsh,Joey D. Vieira,Maggie Wheeler,Jacqueline Lovell,Animation,Dwegons and Leprechauns
Jonathan Jakubowicz,Robert De Niro,Jurnee Smollett-Bell,Edgar Ramírez,Action Biography Drama Sport,Hands of Stone
James McTeigue,Milla Jovovich,Roger Rees,Robert Forster,Action Crime Thriller,Survivor
Scott Walker,Nicolas Cage,Radha Mitchell,Jodi Lyn O'Keefe,Crime Drama Mystery Thriller,The Frozen Ground
John Curran,Toby Jones,Sally Hawkins,Alan David,Drama Romance,The Painted Veil
Uli Edel,Moritz Bleibtreu,Alexandra Maria Lara,Martina Gedeck,Action Biography Crime Drama,The Baader Meinhof Complex
Kevin Costner,Mary McDonnell,Michael Spears,Maury Chaykin,Adventure Drama Western,Dances with Wolves
Jake Kasdan,Justin Timberlake,John Michael Higgins,Phyllis Smith,Comedy,Bad Teacher
Harold Becker,Al Pacino,Michael O'Neill,Ellen Barkin,Crime Drama Mystery Thriller,Sea of Love
Mark Rosman,Dan Byrd,Lin Shaye,Julie Gonzalo,Comedy Family Romance,A Cinderella Story
Wes Craven,David Arquette,W. Earl Brown,Roger Jackson,Horror Mystery,Scream
Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,Horror,Thir13en Ghosts
Stanley Kubrick,Scatman Crothers,Shelley Duvall,Joe Turkel,Drama Horror,The Shining
Robert Zemeckis,Lea Thompson,Thomas F. Wilson,J.J. Cohen,Adventure Comedy Sci-Fi,Back to the Future
William Malone,Jeffrey Combs,Peter Gallagher,Bridgette Wilson-Sampras,Horror Mystery Thriller,House on Haunted Hill
Tyler Perry,Eric Mendenhall,Mary J. Blige,Hope Olaide Wilson,Comedy Drama,I Can Do Bad All by Myself
Rob Hawk,Kari J. Kramer,Erin O'Brien,Cabrina Collesides,Action Drama,Fight Valley
Josh Gordon,Caroline Dhavernas,Scott Elrod,Kelli Barrett,Comedy Drama Romance,The Switch
Shawn Levy,Taran Killam,David Agranov,David Moscow,Comedy Romance,Just Married
Lee Tamahori,Mem Ferda,Dominic Cooper,Ludivine Sagnier,Biography Drama Thriller,The Devil's Double
unknown,Nicole 'Snooki' Polizzi,Jenni 'Jwoww' Farley,Paul 'Pauly D' DelVecchio,Comedy Drama Reality-TV Romance,"Gone, Baby, Gone            "
Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,Adventure Comedy Drama Family Fantasy,Thomas and the Magic Railroad
Breck Eisner,Radha Mitchell,Glenn Morshower,John Aylward,Horror Thriller,The Crazies
Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,Adventure Animation Family Fantasy,Spirited Away
Alan Yuen,Andy Lau,Michael Wong,Terence Yin,Action Crime Thriller,Firestorm
Roger Donaldson,Liam Neeson,Anthony Hopkins,Laurence Olivier,Action Adventure Drama History Romance,The Bounty
Brian Percival,Emily Watson,Sophie Nélisse,Roger Allam,Drama War,The Book Thief
Sean Anders,Katrina Bowden,Michael Cudlitz,Alice Greczyn,Adventure Comedy Romance,Sex Drive
Anand Tucker,Adam Scott,Kaitlin Olson,Dominique McElligott,Comedy Romance,Leap Year
Anthony Mann,James Mason,Mel Ferrer,Stephen Boyd,Drama History War,The Fall of the Roman Empire
Michael Dowse,Topher Grace,Michael Biehn,Dan Fogler,Comedy Drama Romance,Take Me Home Tonight
Daniel Barnz,Holly Hunter,Rosie Perez,Dante Brown,Drama,Won't Back Down
Emile Ardolino,Darci Kistler,Kyra Nichols,Margaret Tracey,Family Fantasy Music,The Nutcracker
Robert Altman,Steve Buscemi,Jennifer Jason Leigh,Miranda Richardson,Crime Drama Music Thriller,Kansas City
James Schamus,Logan Lerman,Sarah Gadon,Tracy Letts,Drama,Indignation
Andrew Douglas,Jimmy Bennett,Chloë Grace Moretz,Ryan Reynolds,Drama Horror Mystery Thriller,The Amityville Horror
Spike Jonze,Nicolas Cage,Meryl Streep,Roger Willie,Comedy Drama,Adaptation.
George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,Horror,Land of the Dead
Danny Pang,Louis Koo,Angelica Lee,Ching Wan Lau,Action,Out of Inferno
Terry Gilliam,Johnny Depp,Michael Jeter,Ellen Barkin,Adventure Comedy Drama,Fear and Loathing in Las Vegas
Ricky Gervais,Jennifer Garner,Tina Fey,Martin Starr,Comedy Fantasy Romance,The Invention of Lying
Nicholas Stoller,Craig Roberts,Carla Gallo,Ike Barinholtz,Comedy,Neighbors
Chuck Russell,Peter Greene,Amy Yasbeck,Reg E. Cathey,Action Comedy Crime Fantasy,The Mask
Penny Marshall,Tom Hanks,Jon Lovitz,John Heard,Comedy Drama Family Fantasy Romance,Big
Larry Charles,Luenell,Ken Davitian,Chester,Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
Robert Luketic,Linda Cardellini,Raquel Welch,Alanna Ubach,Comedy Romance,Legally Blonde
Leonard Nimoy,Leonard Nimoy,Nichelle Nichols,Walter Koenig,Action Adventure Sci-Fi,Star Trek III: The Search for Spock
Scott Derrickson,Tom Wilkinson,Colm Feore,JR Bourne,Drama Horror Thriller,The Exorcism of Emily Rose
Mike Mitchell,Amy Poehler,Eddie Griffin,Bree Turner,Comedy Romance,Deuce Bigalow: Male Gigolo
Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller,Left Behind
Thomas Bezucha,Craig T. Nelson,Paul Schneider,Tyrone Giordano,Comedy Drama Romance,The Family Stone
Kevin Rodney Sullivan,Harry Lennix,Sean Patrick Thomas,Kenan Thompson,Comedy Drama,Barbershop 2: Back in Business
Terry Zwigoff,Bernie Mac,Tony Cox,Alex Borstein,Comedy Crime Drama,Bad Santa
Jay Roach,Will Ferrell,Charles Napier,Robert Wagner,Comedy Crime,Austin Powers: International Man of Mystery
Kirk Jones,Nia Vardalos,Louis Mandylor,Joey Fatone,Comedy Family Romance,My Big Fat Greek Wedding 2
David Bowers,Zachary Gordon,Rachael Harris,Fran Kranz,Comedy Family,Diary of a Wimpy Kid: Rodrick Rules
John McTiernan,Shane Black,Bill Duke,Carl Weathers,Action Horror Sci-Fi,Predator
Milos Forman,Jeffrey Jones,F. Murray Abraham,Tom Hulce,Biography Drama History Music,Amadeus
Nelson McCormick,Ming-Na Wen,Scott Porter,Collins Pennie,Horror Mystery,Prom Night
Mark Waters,Tina Fey,Amy Poehler,Neil Flynn,Comedy,Mean Girls
Audrey Wells,Raoul Bova,Lindsay Duncan,Mario Monicelli,Comedy Drama Romance,Under the Tuscan Sun
Robert Altman,Kristin Scott Thomas,Bob Balaban,Tom Hollander,Drama Mystery,Gosford Park
unknown,Peter Gallagher,Melinda Clarke,Tate Donovan,Comedy Drama Romance,The O.C.            
Francis Ford Coppola,Nicolas Cage,Kathleen Turner,Joan Allen,Comedy Drama Fantasy Romance,Peggy Sue Got Married
Alejandro G. Iñárritu,Emma Stone,Naomi Watts,Merritt Wever,Comedy Drama Romance,Birdman or (The Unexpected Virtue of Ignorance)
Woody Allen,Sally Hawkins,Charlie Tahan,Andrew Dice Clay,Drama,Blue Jasmine
Paul Greengrass,Christian Clemenson,David Alan Basche,Susan Blommaert,Drama History Thriller,United 93
Bille Woodruff,Christian Monzon,Mekhi Phifer,Romeo Miller,Drama Music Romance,Honey
Edward Zwick,Denzel Washington,Morgan Freeman,Matthew Broderick,Drama History War,Glory
Rick Friedberg,Hulk Hogan,Barry Bostwick,Nicollette Sheridan,Action Comedy,Spy Hard
John Carpenter,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,Fantasy Horror,The Fog
Sean McNamara,Dennis Quaid,Chris Brochu,Craig T. Nelson,Biography Drama Family Sport,Soul Surfer
Mike Nichols,Bob Newhart,Bob Balaban,Martin Balsam,Comedy Drama War,Catch-22
Jody Hill,Collette Wolfe,Celia Weston,Dan Bakkedahl,Comedy Crime Drama,Observe and Report
Richard Fleischer,Mako,Olivia d'Abo,Grace Jones,Action Adventure Fantasy,Conan the Destroyer
Martin Scorsese,Robert De Niro,Cathy Moriarty,Frank Vincent,Biography Drama Sport,Raging Bull
Brandon Camp,Judy Greer,Sasha Alexander,Frances Conroy,Drama Romance,Love Happens
Barry Levinson,Nicholas Rowe,Roger Ashton-Griffiths,Freddie Jones,Adventure Fantasy Mystery Thriller,Young Sherlock Holmes
Kevin Tancharoen,Kelsey Grammer,Kay Panabaker,Megan Mullally,Comedy Drama Musical Romance,Fame
Danny Boyle,James Franco,Treat Williams,Kate Burton,Adventure Biography Drama Thriller,127 Hours
Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,Comedy Crime,Small Time Crooks
Nicholas Hytner,Amanda Schull,Susan May Pratt,Ethan Stiefel,Drama Music Romance,Center Stage
Jessie Nelson,Olivia Wilde,Alex Borstein,Timothée Chalamet,Comedy,Love the Coopers
Bart Freundlich,Kristen Stewart,Corbin Bleu,Kevin G. Schmidt,Comedy Crime,Catch That Kid
Irwin Winkler,Ian Somerhalder,Hayden Christensen,Kristin Scott Thomas,Drama,Life as a House
Danny Boyle,Kate Winslet,Michael Fassbender,Michael Stuhlbarg,Biography Drama,Steve Jobs
Chris Columbus,Alan Ruck,Marie Avgeropoulos,Shawn Roberts,Comedy Romance,"I Love You, Beth Cooper"
Miguel Arteta,Steve Buscemi,Ari Graynor,Fred Willard,Comedy Drama Romance,Youth in Revolt
William A. Fraker,Jason Robards,Richard Farnsworth,Michael Horse,Action Adventure Western,The Legend of the Lone Ranger
John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,Drama Thriller,The Tailor of Panama
Brian De Palma,Nancy Allen,Dennis Franz,John McMartin,Mystery Thriller,Blow Out
Courtney Solomon,Rebecca Budig,Paul Freeman,Bruce Payne,Action Crime Thriller,Getaway
Ang Lee,Joan Allen,Kate Burton,Henry Czerny,Drama,The Ice Storm
Rob Reiner,Yaya DaCosta,Annie Parisse,Frankie Valli,Comedy Drama Romance,And So It Goes
Jeff Kanew,Craig T. Nelson,Shelley Long,Kellie Martin,Adventure Comedy,Troop Beverly Hills
István Szabó,Miriam Margolyes,Shaun Evans,Juliet Stevenson,Comedy Drama Romance,Being Julia
Adrian Lyne,David Margulies,Karen Young,Kim Chan,Drama Romance,9½ Weeks
Matthew Robbins,Ian McDiarmid,Ralph Richardson,Albert Salmi,Action Adventure Fantasy,Dragonslayer
Michael Hoffman,David Masterson,Kerry Condon,Anne-Marie Duff,Biography Drama Romance,The Last Station
Tim Burton,Johnny Depp,Bill Murray,Martin Landau,Biography Comedy Drama,Ed Wood
Jason Reitman,J.K. Simmons,Kate Winslet,Brooke Smith,Drama,Labor Day
Sergey Bodrov,Tadanobu Asano,Khulan Chuluun,Honglei Sun,Adventure Biography Drama History War,Mongol: The Rise of Genghis Khan
Guy Ritchie,Tom Hardy,Gerard Butler,Tom Wilkinson,Action Crime Thriller,RocknRolla
Hal Needham,Barry Bostwick,Michael Beck,Henry Silva,Action Sci-Fi,Megaforce
Kenneth Branagh,Julie Christie,Brian Blessed,Richard Briers,Drama,Hamlet
Bruce Beresford,Bruce Greenwood,Suzie Steen,Aden Young,Biography Drama Music Romance,Mao's Last Dancer
Jeff Nichols,Kirsten Dunst,Sam Shepard,Paul Sparks,Adventure Drama Sci-Fi Thriller,Midnight Special
Woody Allen,Woody Allen,Stockard Channing,Fisher Stevens,Comedy Romance,Anything Else
Jonathan Teplitzky,Jeremy Irvine,Colin Firth,Sam Reid,Biography Drama Romance War,The Railway Man
unknown,Poppy Montgomery,Dylan Walsh,Dallas Roberts,Drama Mystery,Unforgettable            
Michael Haneke,Ulrich Tukur,Burghart Klaußner,Leonie Benesch,Drama Mystery,The White Ribbon
Zack Ward,Zack Ward,Anna Harr,James Cullen Bressack,Horror,Restoration
Mike Marvin,Clint Howard,Randy Quaid,Nick Cassavetes,Action Horror Romance Sci-Fi Thriller,The Wraith
D.J. Caruso,Adam Goldberg,Meat Loaf,Anthony LaPaglia,Crime Drama Mystery Thriller,The Salton Sea
Nimród Antal,James Hetfield,Mackenzie Gray,Lars Ulrich,Music,Metallica Through the Never
Gregor Jordan,Austin Nichols,Brad Renfro,Lou Taylor Pucci,Crime Drama Thriller,The Informers
unknown,Edgar Ramírez,Nora von Waldstätten,Katharina Schüttler,Biography Crime Drama Thriller,Carlos            
Tran Anh Hung,Takuya Kimura,Simón Andreu,Shawn Yue,Thriller,I Come with the Rain
Lance Hool,Tom Berenger,Joaquim de Almeida,Mark Moses,Action Drama History Romance War Western,One Man's Hero
George A. Romero,Greg Nicotero,John Amplas,Joseph Pilato,Horror,Day of the Dead
Chuck Russell,Sam Trammell,Rebecca De Mornay,Amanda Schull,Action Crime Drama Thriller,I Am Wrath
Christian Volckman,Romola Garai,Catherine McCormack,Kevork Malikyan,Action Animation Sci-Fi Thriller,Renaissance
Jon Cassar,Demi Moore,Landon Liboiron,Michael Wincott,Drama Western,Forsaken
Richard Fleischer,Ernie Reyes Jr.,Brigitte Nielsen,Sandahl Bergman,Action Adventure Fantasy,Red Sonja
Rodrigo Cortés,Robert De Niro,Toby Jones,Craig Roberts,Drama Horror Mystery Thriller,Red Lights
Greg Mottola,Emma Stone,Joe Lo Truglio,Kevin Corrigan,Comedy,Superbad
Tyler Perry,Vanessa Ferlito,Keshia Knight Pulliam,Derek Luke,Comedy Crime Drama,Madea Goes to Jail
David Hayter,Jason Momoa,Jennifer Hale,Stephen McHattie,Action Horror,Wolves
Jon M. Chu,Cassie Ventura,Mari Koda,Luis Rosado,Drama Music Musical Romance,Step Up 2: The Streets
Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,Action Animation Comedy Crime Family,Hoodwinked!
Terry George,Don Cheadle,Sophie Okonedo,Hakeem Kae-Kazim,Drama History War,Hotel Rwanda
Xavier Gens,Henry Ian Cusick,Dougray Scott,Ulrich Thomsen,Action Crime Drama Thriller,Hitman
Kasi Lemmons,Jennifer Hudson,Mary J. Blige,Vondie Curtis-Hall,Drama Family Music Musical,Black Nativity
Brian A Miller,Bruce Willis,50 Cent,Jessica Lowndes,Action Thriller,The Prince
Matt Dillon,Kirk Fox,Shawn Andrews,Rob Campbell,Crime Drama Thriller,City of Ghosts
Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,Fantasy Horror Thriller,The Others
James Cameron,Michael Biehn,Carrie Henn,Jenette Goldstein,Action Adventure Sci-Fi,Aliens
George Cukor,Jeremy Brett,Rex Harrison,Theodore Bikel,Drama Family Musical Romance,My Fair Lady
Jim Gillespie,Muse Watson,Sarah Michelle Gellar,Anne Heche,Horror Mystery Thriller,I Know What You Did Last Summer
Luke Greenfield,Rob Riggle,Damon Wayans Jr.,James D'Arcy,Comedy,Let's Be Cops
Alexander Payne,Virginia Madsen,Patrick Gallagher,M.C. Gainey,Adventure Comedy Drama Romance,Sideways
Jay Chandrasekhar,Chris Moss,Owain Yeoman,Jay Chandrasekhar,Comedy,Beerfest
John Carpenter,Jamie Lee Curtis,Donald Pleasence,P.J. Soles,Horror Thriller,Halloween
Yimou Zhang,Jet Li,Tony Chiu Wai Leung,Maggie Cheung,Action Adventure History,Hero
John Hoffman,Liam Aiken,Molly Shannon,Kevin Nealon,Comedy Drama Family Fantasy Sci-Fi,Good Boy!
Malcolm D. Lee,Harold Perrineau,Sanaa Lathan,Eddie Cibrian,Comedy Drama,The Best Man Holiday
Joe Carnahan,Ryan Reynolds,Common,Alex Rocco,Action Crime Drama Thriller,Smokin' Aces
Kevin Greutert,Costas Mandylor,Gina Holden,Betsy Russell,Horror Mystery,Saw 3D: The Final Chapter
Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,Comedy Romance,40 Days and 40 Nights
Joseph Kosinski,Jeff Bridges,Olivia Wilde,James Frain,Action Adventure Sci-Fi,TRON: Legacy
John Fortenberry,Will Ferrell,Chris Kattan,Dan Hedaya,Comedy Music Romance,A Night at the Roxbury
Daniel Barnz,Alex Pettyfer,Mary-Kate Olsen,Erik Knudsen,Drama Fantasy Romance,Beastly
Alexandre Aja,Dan Byrd,Greg Nicotero,Vinessa Shaw,Horror,The Hills Have Eyes
Sam Weisman,Kevin Grevioux,Jenna Boyd,Mary McCormack,Comedy,Dickie Roberts: Former Child Star
Niki Caro,Morgan Saylor,Valente Rodriguez,Diana Maria Riva,Biography Drama Sport,"McFarland, USA"
Erik White,Brandon T. Jackson,Loretta Devine,Shad Moss,Comedy,Lottery Ticket
Chris Robinson,T.I.,Adam Boyer,Malika,Comedy Crime Drama Music Romance,ATL
Jason Moore,Anna Kendrick,Hana Mae Lee,Ben Platt,Comedy Music Romance,Pitch Perfect
Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,Comedy Drama Romance Sport,Summer Catch
Sam Raimi,Gary Cole,Bridget Fonda,Chelcie Ross,Crime Drama Thriller,A Simple Plan
Robert Harmon,Alexander Gould,Ethan Embry,Marc Blucas,Horror Mystery Thriller,They
Trent Cooper,Thomas F. Wilson,Larry the Cable Guy,Megyn Price,Comedy Romance,Larry the Cable Guy: Health Inspector
Gary Halvorson,Vanessa Williams,Kevin Clash,Caroll Spinney,Adventure Comedy Family Fantasy Musical,The Adventures of Elmo in Grouchland
Antoine Fuqua,Don Cheadle,Lili Taylor,Armando Riesco,Crime Drama Thriller,Brooklyn's Finest
Nicholas Ray,Ava Gardner,David Niven,John Ireland,Action Adventure Drama History War,55 Days at Peking
Fede Alvarez,Lou Taylor Pucci,Elizabeth Blackmore,Ellen Sandweiss,Horror,Evil Dead
Donald Petrie,Nia Vardalos,Harland Williams,Rachel Dratch,Comedy Romance,My Life in Ruins
Paul Weitz,Judy Greer,Dennis Quaid,Chris Klein,Comedy Music,American Dreamz
Sidney J. Furie,Jim Broadbent,Margot Kidder,William Hootkins,Action Adventure Family Sci-Fi,Superman IV: The Quest for Peace
Ian Iqbal Rashid,DeRay Davis,Clé Bennett,Conrad Coates,Drama,How She Move
Wayne Kramer,Paul Walker,Chazz Palminteri,Ivana Milicevic,Action Crime Drama Thriller,Running Scared
Rowdy Herrington,Aidan Quinn,Jeremy Northam,Paul Freeman,Biography Drama Romance Sport,Bobby Jones: Stroke of Genius
Jim Goddard,Victor Wong,Paul Freeman,Clyde Kusatsu,Adventure Crime Drama Romance,Shanghai Surprise
Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller,The Illusionist
Noel Marshall,Tippi Hedren,Melanie Griffith,Zakes Mokae,Adventure Horror Thriller,Roar
Joel Schumacher,Brenda Fricker,David Murray,Gerard McSorley,Biography Crime Drama Thriller,Veronica Guerin
Andrea Di Stefano,Josh Hutcherson,Brady Corbet,Carlos Bardem,Crime Drama Romance Thriller,Escobar: Paradise Lost
Richard Kelly,Janeane Garofalo,Curtis Armstrong,Chris Andrew Ciulla,Comedy Mystery Sci-Fi Thriller,Southland Tales
Guillaume Ivernel,Rob Paulsen,Jess Harnell,Mary Mouser,Adventure Animation Family Fantasy,Dragon Hunters
Jack Smight,George Peppard,Jan-Michael Vincent,Paul Winfield,Sci-Fi,Damnation Alley
Todd Lincoln,Julianna Guill,Rick Gomez,Tim Williams,Horror Thriller,The Apparition
Howard Zieff,Macaulay Culkin,Jamie Lee Curtis,Griffin Dunne,Comedy Drama Family Romance,My Girl
Steven Shainberg,Robert Downey Jr.,Ty Burrell,Matt Servitto,Biography Drama Romance,Fur: An Imaginary Portrait of Diane Arbus
Neil Burger,Rufus Sewell,Eddie Marsan,Jake Wood,Drama Mystery Romance Thriller,The Illusionist
Oliver Stone,Hal Holbrook,Tamara Tunie,James Karen,Crime Drama,Wall Street
Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,Drama Romance,Sense and Sensibility
Julian Jarrold,Anne Hathaway,Julie Walters,Laurence Fox,Biography Drama Romance,Becoming Jane
Joe Nussbaum,Danny Strong,Matt Long,Samm Levine,Comedy Romance,Sydney White
Vadim Perelman,Frances Fisher,Kim Dickens,Ron Eldard,Drama,House of Sand and Fog
Peter Weir,Robin Williams,Josh Charles,Kurtwood Smith,Comedy Drama,Dead Poets Society
Peter Farrelly,Lauren Holly,Mike Starr,Teri Garr,Comedy,Dumb & Dumber
Rob Reiner,Bruno Kirby,Gretchen Palmer,Harley Jane Kozak,Comedy Drama Romance,When Harry Met Sally...
Sidney Lumet,Charlotte Rampling,James Mason,Jack Warden,Drama,The Verdict
Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,Comedy,Road Trip
Brian Robbins,Paul Walker,Ron Lester,Mark Walters,Comedy Drama Romance Sport,Varsity Blues
Michel Hazanavicius,Bérénice Bejo,Ed Lauter,Beth Grant,Comedy Drama Romance,The Artist
David S. Goyer,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,Drama Fantasy Horror Mystery Thriller,The Unborn
Wes Anderson,Bruce Willis,Bill Murray,Bob Balaban,Adventure Comedy Drama Romance,Moonrise Kingdom
Jonathan Liebesman,Matt Bomer,Jordana Brewster,Lew Temple,Horror,The Texas Chainsaw Massacre: The Beginning
Cyrus Nowrasteh,Clive Russell,Vincent Walsh,Finn Ireland,Drama,The Young Messiah
Perry Andelin Blake,Jennifer Esposito,Kenan Thompson,James Brolin,Comedy Family,The Master of Disguise
Guillermo del Toro,Ivana Baquero,Maribel Verdú,Sergi López,Drama Fantasy War,Pan's Labyrinth
unknown,Joel Courtney,Jessika Van,Riley Smith,Drama Fantasy Mystery Thriller,The Messengers            
John Whitesell,Leslie Bibb,Angus T. Jones,Paul Sorvino,Action Comedy Crime Family,See Spot Run
John Singleton,Mo'Nique,Snoop Dogg,Angell Conwell,Crime Drama Romance Thriller,Baby Boy
Christian E. Christiansen,Leighton Meester,Danneel Ackles,Frances Fisher,Drama Horror Thriller,The Roommate
Dennie Gordon,Brittany Daniel,Erik Per Sullivan,Fred Ward,Adventure Comedy Drama,Joe Dirt
Sheldon Lettich,Bolo Yeung,Alonna Shaw,Kamel Krifa,Action Crime,Double Impact
Edgar Wright,Bill Bailey,Joe Cornish,Billie Whitelaw,Action Comedy Mystery,Hot Fuzz
Diane English,Jada Pinkett Smith,Debi Mazar,Debra Messing,Comedy Drama,The Women
Woody Allen,Scarlett Johansson,Kevin Dunn,Christopher Evan Welch,Drama Romance,Vicky Cristina Barcelona
Peter Flinth,Gustaf Skarsgård,Michael Nyqvist,Vincent Perez,Action Adventure Drama Romance War,Arn: The Knight Templar
Jon Lucas,Mila Kunis,Jay Hernandez,Jada Pinkett Smith,Comedy,Bad Moms
Robert Iscove,Alyson Hannigan,Amanda Detmer,Tsianina Joelson,Comedy Drama Romance,Boys and Girls
Peter Kosminsky,Patrick Fugit,Cole Hauser,Marc Donato,Drama,White Oleander
Karyn Kusama,J.K. Simmons,Amy Sedaris,Cynthia Stevenson,Comedy Fantasy Horror,Jennifer's Body
Nick Gomez,Will Ferrell,Jamie Lee Curtis,Tracey Walter,Comedy Crime Mystery,Drowning Mona
Woody Allen,Mike Starr,Don Pardo,Julie Kavner,Comedy,Radio Days
Vic Armstrong,Nicolas Cage,Lea Thompson,Quinton Aaron,Action Drama Fantasy Mystery Thriller,Left Behind
Allen Coulter,Robert Pattinson,Lena Olin,Ruby Jerins,Drama Romance,Remember Me
Clare Kilner,Dylan Baker,Alexandra Holden,Trent Ford,Comedy Drama Romance,How to Deal
Richard Benjamin,Jon Lovitz,Alyson Hannigan,Tony Jay,Comedy Romance Sci-Fi,My Stepmother Is an Alien
