director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Joel Zwick,Nia Vardalos,Louis Mandylor,Lainie Kazan,Comedy Family Romance,My Big Fat Greek Wedding,Nia Vardalos Louis Mandylor Lainie Kazan Joel Zwick Comedy Family Romance
Harmony Korine,James Franco,Heather Morris,Rachel Korine,Crime Drama,Spring Breakers,James Franco Heather Morris Rachel Korine Harmony Korine Crime Drama
Joe Chappelle,Donald Pleasence,Kim Darby,Mitchell Ryan,Horror Thriller,Halloween: The Curse of Michael Myers,Donald Pleasence Kim Darby Mitchell Ryan Joe Chappelle Horror Thriller
Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,Adventure Comedy Drama Romance,Y Tu Mamá También,Maribel Verdú Daniel Giménez Cacho María Aura Alfonso Cuarón Adventure Comedy Drama Romance
Edgar Wright,Peter Serafinowicz,Dylan Moran,Rafe Spall,Comedy Horror,Shaun of the Dead,Peter Serafinowicz Dylan Moran Rafe Spall Edgar Wright Comedy Horror
Mickey Liddell,Jessica Lowndes,Randy Wayne,Haley Bennett,Drama Horror Thriller,The Haunting of Molly Hartley,Jessica Lowndes Randy Wayne Haley Bennett Mickey Liddell Drama Horror Thriller
John Sayles,Matthew McConaughey,Clifton James,Miriam Colon,Drama Mystery,Lone Star,Matthew McConaughey Clifton James Miriam Colon John Sayles Drama Mystery
Dwight H. Little,Donald Pleasence,Kathleen Kinmont,Ellie Cornell,Horror Thriller,Halloween 4: The Return of Michael Myers,Donald Pleasence Kathleen Kinmont Ellie Cornell Dwight H. Little Horror Thriller
Fred Walton,Thomas F. Wilson,Deborah Foreman,Clayton Rohner,Horror Mystery,April Fool's Day,Thomas F. Wilson Deborah Foreman Clayton Rohner Fred Walton Horror Mystery
Barry Levinson,Steve Guttenberg,Daniel Stern,Ellen Barkin,Comedy Drama,Diner,Steve Guttenberg Daniel Stern Ellen Barkin Barry Levinson Comedy Drama
Steve Carver,David Carradine,William Sanderson,Robert Beltran,Action Crime Drama Thriller Western,Lone Wolf McQuade,David Carradine William Sanderson Robert Beltran Steve Carver Action Crime Drama Thriller Western
Gonzalo López-Gallego,Warren Christie,Ryan Robbins,Andrew Airlie,Horror Mystery Sci-Fi Thriller,Apollo 18,Warren Christie Ryan Robbins Andrew Airlie Gonzalo López-Gallego Horror Mystery Sci-Fi Thriller
Christine Jeffs,Clifton Collins Jr.,Mary Lynn Rajskub,Paul Dooley,Comedy Drama,Sunshine Cleaning,Clifton Collins Jr. Mary Lynn Rajskub Paul Dooley Christine Jeffs Comedy Drama
John Erick Dowdle,Sterling Jerins,Claire Geare,Sahajak Boonthanakit,Action Thriller,No Escape,Sterling Jerins Claire Geare Sahajak Boonthanakit John Erick Dowdle Action Thriller
Don Coscarelli,Vanna Bonta,John Amos,Rip Torn,Action Adventure Fantasy,The Beastmaster,Vanna Bonta John Amos Rip Torn Don Coscarelli Action Adventure Fantasy
King Vidor,Gina Lollobrigida,George Sanders,Finlay Currie,Drama History Romance War,Solomon and Sheba,Gina Lollobrigida George Sanders Finlay Currie King Vidor Drama History Romance War
Michael Tiddes,Fred Willard,Mike Epps,Russell Peters,Comedy,Fifty Shades of Black,Fred Willard Mike Epps Russell Peters Michael Tiddes Comedy
Bill Duke,Eddie Cibrian,Jenifer Lewis,Wood Harris,Drama Romance,Not Easily Broken,Eddie Cibrian Jenifer Lewis Wood Harris Bill Duke Drama Romance
Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,Drama Romance War,A Farewell to Arms,Gary Cooper Helen Hayes Adolphe Menjou Frank Borzage Drama Romance War
Bille Woodruff,Donald Faison,Brandy Norwood,Lauren London,Comedy Romance,The Perfect Match,Donald Faison Brandy Norwood Lauren London Bille Woodruff Comedy Romance
Mamoru Hosoda,Lara Jill Miller,Colleen O'Shaughnessey,Mona Marshall,Action Adventure Animation Family Sci-Fi,Digimon: The Movie,Lara Jill Miller Colleen O'Shaughnessey Mona Marshall Mamoru Hosoda Action Adventure Animation Family Sci-Fi
Brian Dannelly,Macaulay Culkin,Patrick Fugit,Eva Amurri Martino,Comedy Drama,Saved!,Macaulay Culkin Patrick Fugit Eva Amurri Martino Brian Dannelly Comedy Drama
Denys Arcand,Marie-Josée Croze,Stéphane Rousseau,Marina Hands,Comedy Crime Drama Mystery Romance,The Barbarian Invasions,Marie-Josée Croze Stéphane Rousseau Marina Hands Denys Arcand Comedy Crime Drama Mystery Romance
Richard Lester,Robert Shaw,Denholm Elliott,Nicol Williamson,Adventure Drama Romance,Robin and Marian,Robert Shaw Denholm Elliott Nicol Williamson Richard Lester Adventure Drama Romance
J.S. Cardone,Brendan Fehr,Kerr Smith,Izabella Miko,Horror Thriller,The Forsaken,Brendan Fehr Kerr Smith Izabella Miko J.S. Cardone Horror Thriller
Guy Hamilton,Harrison Ford,Carl Weathers,Franco Nero,Action Drama War,Force 10 from Navarone,Harrison Ford Carl Weathers Franco Nero Guy Hamilton Action Drama War
Jay Levey,Fran Drescher,Gedde Watanabe,Michael Richards,Comedy Drama,UHF,Fran Drescher Gedde Watanabe Michael Richards Jay Levey Comedy Drama
Nicholaus Goossen,Linda Cardellini,Joel David Moore,Shirley Jones,Comedy,Grandma's Boy,Linda Cardellini Joel David Moore Shirley Jones Nicholaus Goossen Comedy
Tamara Jenkins,Natasha Lyonne,Kevin Corrigan,Jessica Walter,Comedy Drama,Slums of Beverly Hills,Natasha Lyonne Kevin Corrigan Jessica Walter Tamara Jenkins Comedy Drama
Sergio Leone,Claudia Cardinale,Woody Strode,Jack Elam,Western,Once Upon a Time in the West,Claudia Cardinale Woody Strode Jack Elam Sergio Leone Western
Jon Favreau,Jon Favreau,Faizon Love,Jonathan Silverman,Comedy Crime Drama Thriller,Made,Jon Favreau Faizon Love Jonathan Silverman Jon Favreau Comedy Crime Drama Thriller
Duncan Jones,Kevin Spacey,Matt Berry,Benedict Wong,Drama Mystery Sci-Fi,Moon,Kevin Spacey Matt Berry Benedict Wong Duncan Jones Drama Mystery Sci-Fi
Scott Marshall,Miranda Cosgrove,Jami Gertz,Carter Jenkins,Comedy,Keeping Up with the Steins,Miranda Cosgrove Jami Gertz Carter Jenkins Scott Marshall Comedy
Ronan Chapalain,Norbert Ferrer,Guillaume Denaiffe,Chloe Hollings,Documentary,Sea Rex 3D: Journey to a Prehistoric World,Norbert Ferrer Guillaume Denaiffe Chloe Hollings Ronan Chapalain Documentary
Atom Egoyan,Bruce Greenwood,Sarah Polley,Simon Baker,Drama,The Sweet Hereafter,Bruce Greenwood Sarah Polley Simon Baker Atom Egoyan Drama
Xavier Beauvois,Lambert Wilson,Michael Lonsdale,Olivier Rabourdin,Drama,Of Gods and Men,Lambert Wilson Michael Lonsdale Olivier Rabourdin Xavier Beauvois Drama
Randall Miller,Alan Rickman,Freddy Rodríguez,Greg Collins,Comedy Drama,Bottle Shock,Alan Rickman Freddy Rodríguez Greg Collins Randall Miller Comedy Drama
Jerry Belson,Cassandra Peterson,Tim Thomerson,Bess Armstrong,Comedy Music Sci-Fi,Jekyll and Hyde... Together Again,Cassandra Peterson Tim Thomerson Bess Armstrong Jerry Belson Comedy Music Sci-Fi
Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,Biography Crime Drama Romance Thriller,Heavenly Creatures,Kate Winslet Jed Brophy Liz Mullane Peter Jackson Biography Crime Drama Romance Thriller
Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,Drama,90 Minutes in Heaven,Hayden Christensen Bobby Batson Cynthia Barrett Michael Polish Drama
Dan Rush,Will Ferrell,Scott Takeda,Stephen Root,Comedy Drama,Everything Must Go,Will Ferrell Scott Takeda Stephen Root Dan Rush Comedy Drama
Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,Comedy Crime Drama Mystery Thriller,Zero Effect,Kim Dickens Ryan O'Neal Angela Featherstone Jake Kasdan Comedy Crime Drama Mystery Thriller
Brad Anderson,Christian Bale,Jennifer Jason Leigh,Reg E. Cathey,Drama Thriller,The Machinist,Christian Bale Jennifer Jason Leigh Reg E. Cathey Brad Anderson Drama Thriller
Paul Schrader,Dana Delany,Jane Adams,David Clennon,Crime Drama,Light Sleeper,Dana Delany Jane Adams David Clennon Paul Schrader Crime Drama
Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,Biography Crime Drama Mystery Thriller,Kill the Messenger,Jeremy Renner Paz Vega Robert Pralgo Michael Cuesta Biography Crime Drama Mystery Thriller
John Cameron Mitchell,Dianne Wiest,Jon Tenney,Tammy Blanchard,Drama,Rabbit Hole,Dianne Wiest Jon Tenney Tammy Blanchard John Cameron Mitchell Drama
Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,Biography Crime Drama Thriller,Party Monster,Macaulay Culkin Mia Kirshner Marilyn Manson Fenton Bailey Biography Crime Drama Thriller
Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,Crime Horror Music Thriller,Green Room,Alia Shawkat Mark Webber Joe Cole Jeremy Saulnier Crime Horror Music Thriller
Billy Kent,Liza Minnelli,Tim Russ,Winter Ave Zoli,Comedy Drama Romance,The Oh in Ohio,Liza Minnelli Tim Russ Winter Ave Zoli Billy Kent Comedy Drama Romance
James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,Atlas Shrugged: Who Is John Galt?,Joaquim de Almeida Greg Germann Kristoffer Polaha James Manera Drama Mystery Sci-Fi
Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,Comedy Crime Drama,Bottle Rocket,Andrew Wilson Darryl Cox Lumi Cavazos Wes Anderson Comedy Crime Drama
Kevin Spacey,Viggo Mortensen,Joe Mantegna,Faye Dunaway,Crime Drama Thriller,Albino Alligator,Viggo Mortensen Joe Mantegna Faye Dunaway Kevin Spacey Crime Drama Thriller
Feroz Abbas Khan,Akshaye Khanna,Bhoomika Chawla,Darshan Jariwala,Biography Drama History,"Gandhi, My Father",Akshaye Khanna Bhoomika Chawla Darshan Jariwala Feroz Abbas Khan Biography Drama History
Errol Morris,Jeffrey Frost,Megan Ambuhl Graner,Ken Davis,Crime Documentary War,Standard Operating Procedure,Jeffrey Frost Megan Ambuhl Graner Ken Davis Errol Morris Crime Documentary War
Eli Craig,Katrina Bowden,Tyler Labine,Chelan Simmons,Comedy Horror,Tucker and Dale vs Evil,Katrina Bowden Tyler Labine Chelan Simmons Eli Craig Comedy Horror
Nicholas Fackler,Adam Scott,Ellen Burstyn,Martin Landau,Drama Romance,"Lovely, Still",Adam Scott Ellen Burstyn Martin Landau Nicholas Fackler Drama Romance
Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,Adventure Drama Romance,Tycoon,Judith Anderson Paul Fix Laraine Day Richard Wallace Adventure Drama Romance
Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,Drama,Desert Blue,Ethan Suplee John Heard Sara Gilbert Morgan J. Freeman Drama
Matthew Hastings,Meghan Ory,Marc Trottier,Corey Sevier,Comedy Horror Sci-Fi,Decoys,Meghan Ory Marc Trottier Corey Sevier Matthew Hastings Comedy Horror Sci-Fi
M. Night Shyamalan,Ocean James,Patch Darragh,Olivia DeJonge,Horror Thriller,The Visit,Ocean James Patch Darragh Olivia DeJonge M. Night Shyamalan Horror Thriller
Brian De Palma,Mike Figueroa,Daniel Stewart Sherman,Kel O'Neill,Crime Thriller War,Redacted,Mike Figueroa Daniel Stewart Sherman Kel O'Neill Brian De Palma Crime Thriller War
Klaus Menzel,Adam Garcia,Jacqueline Bisset,Alice Evans,Mystery Romance Thriller,Fascination,Adam Garcia Jacqueline Bisset Alice Evans Klaus Menzel Mystery Romance Thriller
Oren Peli,Glenn Campbell,Sandra Staggs,Jelena Nik,Horror Sci-Fi Thriller,Area 51,Glenn Campbell Sandra Staggs Jelena Nik Oren Peli Horror Sci-Fi Thriller
Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,Drama Horror Thriller,Sleep Tight,Luis Tosar Tony Corvillo Marta Etura Jaume Balagueró Drama Horror Thriller
Paul Andrew Williams,Dave Legeno,Doug Bradley,Georgia Groome,Comedy Crime Horror Thriller,The Cottage,Dave Legeno Doug Bradley Georgia Groome Paul Andrew Williams Comedy Crime Horror Thriller
Stephen Herek,Henry Ian Cusick,Callum Blue,Shenae Grimes-Beech,Comedy Drama Fantasy,Dead Like Me: Life After Death,Henry Ian Cusick Callum Blue Shenae Grimes-Beech Stephen Herek Comedy Drama Fantasy
Bob Saget,Alyson Hannigan,John Stamos,Jim Belushi,Animation Comedy,Farce of the Penguins,Alyson Hannigan John Stamos Jim Belushi Bob Saget Animation Comedy
Jim Amatulli,Heather Locklear,Patricia Neal,Katie Leclerc,Drama Family Music,Flying By,Heather Locklear Patricia Neal Katie Leclerc Jim Amatulli Drama Family Music
unknown,Corbin Bernsen,Dulé Hill,Timothy Omundson,Comedy Crime Mystery,Psych            ,Corbin Bernsen Dulé Hill Timothy Omundson unknown Comedy Crime Mystery
William H. Macy,Billy Crudup,Felicity Huffman,David Adam Flannery,Comedy Drama Music,Rudderless,Billy Crudup Felicity Huffman David Adam Flannery William H. Macy Comedy Drama Music
Barrett Esposito,Chazz Palminteri,Cyndi Lauper,Danny Aiello,Animation Family,Henry & Me,Chazz Palminteri Cyndi Lauper Danny Aiello Barrett Esposito Animation Family
Mitch Davis,Gary Cole,Jon Heder,Cheryl Hines,Comedy,Christmas Eve,Gary Cole Jon Heder Cheryl Hines Mitch Davis Comedy
Eric Bross,Teri Polo,Esai Morales,Nicholas Gonzalez,Crime Drama Thriller,We Have Your Husband,Teri Polo Esai Morales Nicholas Gonzalez Eric Bross Crime Drama Thriller
Paul Schrader,Nicolas Cage,Irène Jacob,Tomiwa Edun,Drama Thriller,Dying of the Light,Nicolas Cage Irène Jacob Tomiwa Edun Paul Schrader Drama Thriller
Vicky Jewson,James Frain,Sofia Black-D'Elia,Lisa Kay,Action Drama Thriller War,Born of War,James Frain Sofia Black-D'Elia Lisa Kay Vicky Jewson Action Drama Thriller War
Peter Hyams,David Huddleston,Sam Waterston,Hal Holbrook,Action Sci-Fi Thriller,Capricorn One,David Huddleston Sam Waterston Hal Holbrook Peter Hyams Action Sci-Fi Thriller
Marc Bennett,Michael Rapaport,Natasha Henstridge,Costas Mandylor,Comedy Drama,Should've Been Romeo,Michael Rapaport Natasha Henstridge Costas Mandylor Marc Bennett Comedy Drama
Mike Mayhall,David Raizor,Cody Howard,Martin Kove,Family,Running Forever,David Raizor Cody Howard Martin Kove Mike Mayhall Family
Kevin Smith,Johnny Depp,Haley Joel Osment,Natasha Lyonne,Comedy Fantasy Horror Thriller,Yoga Hosers,Johnny Depp Haley Joel Osment Natasha Lyonne Kevin Smith Comedy Fantasy Horror Thriller
Stanton Barrett,Mikal Vega,Michael Dudikoff,Ed Quinn,Action Horror,Navy Seals vs. Zombies,Mikal Vega Michael Dudikoff Ed Quinn Stanton Barrett Action Horror
Jirí Menzel,Julia Jentsch,Ivan Barnev,Milan Lasica,Comedy Drama Romance War,I Served the King of England,Julia Jentsch Ivan Barnev Milan Lasica Jirí Menzel Comedy Drama Romance War
Fatih Akin,Udo Kier,Moritz Bleibtreu,Birol Ünel,Comedy Drama,Soul Kitchen,Udo Kier Moritz Bleibtreu Birol Ünel Fatih Akin Comedy Drama
Billy Bob Thornton,Robert Duvall,Dwight Yoakam,J.T. Walsh,Drama,Sling Blade,Robert Duvall Dwight Yoakam J.T. Walsh Billy Bob Thornton Drama
Nick Murphy,Isaac Hempstead Wright,Imelda Staunton,Joseph Mawle,Horror Thriller,The Awakening,Isaac Hempstead Wright Imelda Staunton Joseph Mawle Nick Murphy Horror Thriller
Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,Horror,Hostel,Jay Hernandez Takashi Miike Rick Hoffman Eli Roth Horror
Michael Winterbottom,Steve Coogan,Shirley Henderson,Dylan Moran,Comedy Drama,Tristram Shandy: A Cock and Bull Story,Steve Coogan Shirley Henderson Dylan Moran Michael Winterbottom Comedy Drama
Jeff Nichols,Katy Mixon,Shea Whigham,Robert Longstreet,Drama Thriller,Take Shelter,Katy Mixon Shea Whigham Robert Longstreet Jeff Nichols Drama Thriller
Frank LaLoggia,Alex Rocco,Lukas Haas,Katherine Helmond,Fantasy Horror Mystery Thriller,Lady in White,Alex Rocco Lukas Haas Katherine Helmond Frank LaLoggia Fantasy Horror Mystery Thriller
Jeremy Brock,Rupert Grint,Julie Walters,Tamsin Egerton,Comedy Drama,Driving Lessons,Rupert Grint Julie Walters Tamsin Egerton Jeremy Brock Comedy Drama
Scott Foley,Donald Faison,Greg Grunberg,Dagmara Dominczyk,Comedy Crime,Let's Kill Ward's Wife,Donald Faison Greg Grunberg Dagmara Dominczyk Scott Foley Comedy Crime
Tobe Hooper,Bill Johnson,Lou Perryman,Jim Siedow,Comedy Horror,The Texas Chainsaw Massacre 2,Bill Johnson Lou Perryman Jim Siedow Tobe Hooper Comedy Horror
Sam Peckinpah,James Coburn,Bob Dylan,Jason Robards,Biography Drama Romance Western,Pat Garrett & Billy the Kid,James Coburn Bob Dylan Jason Robards Sam Peckinpah Biography Drama Romance Western
Nicolas Winding Refn,Ryan Gosling,Kristin Scott Thomas,Yayaying Rhatha Phongam,Crime Drama,Only God Forgives,Ryan Gosling Kristin Scott Thomas Yayaying Rhatha Phongam Nicolas Winding Refn Crime Drama
Christophe Ali,Denis Lavant,Isild Le Besco,Emmanuelle Bercot,Drama,Camping sauvage,Denis Lavant Isild Le Besco Emmanuelle Bercot Christophe Ali Drama
Gabriela Tagliavini,Maria Conchita Alonso,Kate del Castillo,Camryn Manheim,Comedy,Without Men,Maria Conchita Alonso Kate del Castillo Camryn Manheim Gabriela Tagliavini Comedy
Shekar,Bhama,Diganth,Dileep Raj,Comedy Romance,Barfi,Bhama Diganth Dileep Raj Shekar Comedy Romance
Shona Auerbach,Gerard Butler,Sharon Small,Jack McElhone,Drama Romance,Dear Frankie,Gerard Butler Sharon Small Jack McElhone Shona Auerbach Drama Romance
Leonard Farlinger,Keith Carradine,Gary Farmer,Stephen McHattie,Western,All Hat,Keith Carradine Gary Farmer Stephen McHattie Leonard Farlinger Western
Michel Leclerc,Sara Forestier,Jacques Gamblin,Zinedine Soualem,Comedy Drama Romance,The Names of Love,Sara Forestier Jacques Gamblin Zinedine Soualem Michel Leclerc Comedy Drama Romance
Analeine Cal y Mayor,Zoë Kravitz,Douglas Smith,Kim Ly,Comedy Drama,Treading Water,Zoë Kravitz Douglas Smith Kim Ly Analeine Cal y Mayor Comedy Drama
Tom Kalin,Eddie Redmayne,Elena Anaya,Stephen Dillane,Drama,Savage Grace,Eddie Redmayne Elena Anaya Stephen Dillane Tom Kalin Drama
Robert Sarkies,William Kircher,Matthew Sunderland,Paul Glover,Crime Drama,Out of the Blue,William Kircher Matthew Sunderland Paul Glover Robert Sarkies Crime Drama
Hugh Wilson,Steve Guttenberg,Bubba Smith,Michael Winslow,Comedy,Police Academy,Steve Guttenberg Bubba Smith Michael Winslow Hugh Wilson Comedy
Randal Kleiser,Brooke Shields,Christopher Atkins,Leo McKern,Adventure Drama Romance,The Blue Lagoon,Brooke Shields Christopher Atkins Leo McKern Randal Kleiser Adventure Drama Romance
Mike Newell,Kristin Scott Thomas,James Fleet,Simon Callow,Comedy Drama Romance,Four Weddings and a Funeral,Kristin Scott Thomas James Fleet Simon Callow Mike Newell Comedy Drama Romance
Amy Heckerling,Jennifer Jason Leigh,Judge Reinhold,Vincent Schiavelli,Comedy Drama,Fast Times at Ridgemont High,Jennifer Jason Leigh Judge Reinhold Vincent Schiavelli Amy Heckerling Comedy Drama
John Huston,Royal Dano,Richard Basehart,James Robertson Justice,Adventure Drama,Moby Dick,Royal Dano Richard Basehart James Robertson Justice John Huston Adventure Drama
Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,Drama,25th Hour,Philip Seymour Hoffman Rosario Dawson Aaron Stanford Spike Lee Drama
unknown,Dan Fogler,Indiana Evans,KaDee Strickland,Crime Drama,Secrets and Lies            ,Dan Fogler Indiana Evans KaDee Strickland unknown Crime Drama
Lana Wachowski,Christopher Meloni,Kevin Michael Richardson,Peter Spellos,Crime Drama Romance Thriller,Bound,Christopher Meloni Kevin Michael Richardson Peter Spellos Lana Wachowski Crime Drama Romance Thriller
Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,Drama,Requiem for a Dream,Ellen Burstyn Mark Margolis Louise Lasser Darren Aronofsky Drama
Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,Musical Romance,State Fair,Dana Andrews Jeanne Crain Frank McHugh Walter Lang Musical Romance
Carlos Saura,Mía Maestro,Juan Luis Galiardo,Miguel Ángel Solá,Drama Musical,Tango,Mía Maestro Juan Luis Galiardo Miguel Ángel Solá Carlos Saura Drama Musical
Oliver Stone,Jim Belushi,John Savage,Juan Fernández,Drama History Thriller War,Salvador,Jim Belushi John Savage Juan Fernández Oliver Stone Drama History Thriller War
Andrew Erwin,Alex Kendrick,Sarah Drew,Patricia Heaton,Comedy,Moms' Night Out,Alex Kendrick Sarah Drew Patricia Heaton Andrew Erwin Comedy
Richard Kelly,Jake Gyllenhaal,Mary McDonnell,James Duval,Drama Sci-Fi Thriller,Donnie Darko,Jake Gyllenhaal Mary McDonnell James Duval Richard Kelly Drama Sci-Fi Thriller
Beto Gómez,Jaime Camil,Gerardo Taracena,Joaquín Cosio,Adventure Comedy Western,Saving Private Perez,Jaime Camil Gerardo Taracena Joaquín Cosio Beto Gómez Adventure Comedy Western
Mike van Diem,Jan Decleir,Fedja van Huêt,Hans Kesting,Crime Drama Mystery,Character,Jan Decleir Fedja van Huêt Hans Kesting Mike van Diem Crime Drama Mystery
Jonas Åkerlund,Patrick Fugit,Nicholas Gonzalez,Debbie Harry,Comedy Crime Drama,Spun,Patrick Fugit Nicholas Gonzalez Debbie Harry Jonas Åkerlund Comedy Crime Drama
Todd Solondz,Rich Pecci,Shirley Henderson,Charlotte Rampling,Comedy Drama,Life During Wartime,Rich Pecci Shirley Henderson Charlotte Rampling Todd Solondz Comedy Drama
Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,Crime Drama,Lady Vengeance,Min-sik Choi Yeong-ae Lee Hye-jeong Kang Chan-wook Park Crime Drama
René Féret,Nicolas Giraud,Clovis Fouin,Marie Féret,Biography Drama Music Romance,Mozart's Sister,Nicolas Giraud Clovis Fouin Marie Féret René Féret Biography Drama Music Romance
Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,Comedy Drama Sport,Mean Machine,Jason Statham Jason Flemyng Danny Dyer Barry Skolnick Comedy Drama Sport
Johnnie To,Simon Yam,Anthony Chau-Sang Wong,Josie Ho,Action Crime Thriller,Exiled,Simon Yam Anthony Chau-Sang Wong Josie Ho Johnnie To Action Crime Thriller
Mateo Gil,Sam Shepard,Dominique McElligott,Stephen Rea,Action Adventure Western,Blackthorn,Sam Shepard Dominique McElligott Stephen Rea Mateo Gil Action Adventure Western
Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Lyubov Agapova,Crime Drama,Lilya 4-Ever,Oksana Akinshina Artyom Bogucharskiy Lyubov Agapova Lukas Moodysson Crime Drama
Agnieszka Wojtowicz-Vosloo,Liam Neeson,Josh Charles,Chandler Canterbury,Drama Horror Mystery Thriller,After.Life,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
Kabir Sadanand,Jimmy Shergill,Sana Saeed,Dimple Kapadia,Drama Thriller,Fugly,Jimmy Shergill Sana Saeed Dimple Kapadia Kabir Sadanand Drama Thriller
Milos Forman,Scatman Crothers,Michael Berryman,Louise Fletcher,Drama,One Flew Over the Cuckoo's Nest,Scatman Crothers Michael Berryman Louise Fletcher Milos Forman Drama
Peter DeLuise,Katherine McNamara,Dove Cameron,Braeden Lemasters,Comedy,R.L. Stine's Monsterville: The Cabinet of Souls,Katherine McNamara Dove Cameron Braeden Lemasters Peter DeLuise Comedy
Mel Brooks,Sid Caesar,Dom DeLuise,Bernadette Peters,Comedy Romance,Silent Movie,Sid Caesar Dom DeLuise Bernadette Peters Mel Brooks Comedy Romance
Raja Menon,Nimrat Kaur,Sameer Ali Khan,Purab Kohli,Action Drama History Thriller War,Airlift,Nimrat Kaur Sameer Ali Khan Purab Kohli Raja Menon Action Drama History Thriller War
unknown,Zack Ward,Jonathan Crombie,Megan Follows,Drama Family,Anne of Green Gables            ,Zack Ward Jonathan Crombie Megan Follows unknown Drama Family
Ernie Barbarash,Michael Jai White,Michael J. Morris,Lateef Crowder,Action Adventure,Falcon Rising,Michael Jai White Michael J. Morris Lateef Crowder Ernie Barbarash Action Adventure
Nick Love,Hayley Atwell,Ray Winstone,Alan Ford,Action Crime Drama,The Sweeney,Hayley Atwell Ray Winstone Alan Ford Nick Love Action Crime Drama
Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,Crime Thriller,Sexy Beast,Ray Winstone James Fox Amanda Redman Jonathan Glazer Crime Thriller
Daniel Espinosa,Fabian Bolin,Fares Fares,Matias Varela,Action Crime Drama Thriller,Easy Money,Fabian Bolin Fares Fares Matias Varela Daniel Espinosa Action Crime Drama Thriller
Niki Caro,Keisha Castle-Hughes,Rawiri Paratene,Tammy Davis,Drama Family,Whale Rider,Keisha Castle-Hughes Rawiri Paratene Tammy Davis Niki Caro Drama Family
R. Balki,Vidya Balan,Abhishek Bachchan,Paresh Rawal,Comedy Drama,Paa,Vidya Balan Abhishek Bachchan Paresh Rawal R. Balki Comedy Drama
Ivan Engler,Yangzom Brauen,Claude-Oliver Rudolph,Anna Katharina Schwabroh,Mystery Sci-Fi Thriller,Cargo,Yangzom Brauen Claude-Oliver Rudolph Anna Katharina Schwabroh Ivan Engler Mystery Sci-Fi Thriller
Joe Wright,Hugh Jackman,Cara Delevingne,Nonso Anozie,Adventure Family Fantasy,Pan,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
Kenny Ortega,Lucas Grabeel,Corbin Bleu,Olesya Rulin,Comedy Drama Family Music Musical Romance,High School Musical,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
unknown,Dorian Missick,Daniella Alonso,Ellen Barkin,Crime Drama,Animal Kingdom            ,Dorian Missick Daniella Alonso Ellen Barkin unknown Crime Drama
Richard Kwietniowski,Jason Priestley,Maury Chaykin,Danny Webb,Comedy Drama,Love and Death on Long Island,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama
Timur Bekmambetov,Konstantin Khabenskiy,Aleksey Chadov,Zhanna Friske,Fantasy Thriller,Night Watch,Konstantin Khabenskiy Aleksey Chadov Zhanna Friske Timur Bekmambetov Fantasy Thriller
Neil Jordan,Jim Broadbent,Miranda Richardson,Stephen Rea,Crime Drama Romance Thriller,The Crying Game,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller
Bob Clark,Art Hindle,Susan Clark,Tony Ganios,Comedy,Porky's,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy
George A. Romero,Julian Richings,Shawn Roberts,Kathleen Munroe,Horror,Survival of the Dead,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror
Sofia Coppola,Scarlett Johansson,Bill Murray,Catherine Lambert,Drama,Lost in Translation,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama
Woody Allen,Woody Allen,Carol Kane,Shelley Duvall,Comedy Romance,Annie Hall,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance
